Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,0.635200,0.635670,0.632280,0.635160,0.635160,0
2019-02-04,0.632690,0.632960,0.630550,0.632600,0.632600,0
2019-02-05,0.630780,0.635630,0.628900,0.630600,0.630600,0
2019-02-06,0.634890,0.635060,0.625240,0.634810,0.634810,0
2019-02-07,0.625540,0.627830,0.624200,0.625440,0.625440,0
2019-02-08,0.625540,0.626140,0.622630,0.625700,0.625700,0
2019-02-11,0.626800,0.627430,0.625150,0.626990,0.626990,0
2019-02-12,0.626000,0.628670,0.625690,0.626000,0.626000,0
2019-02-13,0.626690,0.630370,0.626010,0.626690,0.626690,0
2019-02-14,0.629500,0.631930,0.627860,0.629480,0.629480,0
2019-02-15,0.628920,0.632290,0.627400,0.628840,0.628840,0
2019-02-18,0.632490,0.632720,0.629980,0.632400,0.632400,0
2019-02-19,0.630290,0.631040,0.628200,0.630380,0.630380,0
2019-02-20,0.631940,0.632150,0.630200,0.631820,0.631820,0
2019-02-21,0.631910,0.635130,0.624250,0.631500,0.631500,0
2019-02-22,0.626680,0.629550,0.625000,0.626790,0.626790,0
2019-02-25,0.630970,0.632420,0.629100,0.630980,0.630980,0
2019-02-26,0.631000,0.631750,0.628700,0.630900,0.630900,0
2019-02-27,0.631340,0.632020,0.626500,0.631320,0.631320,0
2019-02-28,0.627870,0.629630,0.623600,0.628060,0.628060,0
2019-03-01,0.624260,0.625560,0.622270,0.624450,0.624450,0
2019-03-04,0.624040,0.626050,0.622810,0.624100,0.624100,0
2019-03-05,0.625380,0.626130,0.623470,0.625400,0.625400,0
2019-03-06,0.626780,0.627160,0.620160,0.626790,0.626790,0
2019-03-07,0.621500,0.627320,0.620800,0.621530,0.621530,0
2019-03-08,0.627020,0.627590,0.624890,0.626900,0.626900,0
2019-03-11,0.626500,0.628510,0.625770,0.626600,0.626600,0
2019-03-12,0.628070,0.628990,0.626800,0.628000,0.628000,0
2019-03-13,0.625730,0.626610,0.624530,0.625500,0.625500,0
2019-03-14,0.625300,0.625300,0.622600,0.625440,0.625440,0
2019-03-15,0.625170,0.626480,0.624830,0.624990,0.624990,0
2019-03-18,0.625680,0.627650,0.625100,0.625500,0.625500,0
2019-03-19,0.626120,0.626940,0.624730,0.626170,0.626170,0
2019-03-20,0.624230,0.625100,0.622020,0.624220,0.624220,0
2019-03-21,0.624090,0.626900,0.624000,0.624120,0.624120,0
2019-03-22,0.624700,0.629290,0.624100,0.624600,0.624600,0
2019-03-25,0.626780,0.628310,0.625600,0.626750,0.626750,0
2019-03-26,0.628720,0.633050,0.628600,0.628790,0.628790,0
2019-03-27,0.632960,0.633300,0.628240,0.632900,0.632900,0
2019-03-28,0.629100,0.631470,0.628830,0.629570,0.629570,0
2019-03-29,0.630730,0.632630,0.630080,0.630560,0.630560,0
